,样本数,平均值,中位数,标准差,最小值,最大值,25%分位数,75%分位数
sequence_decision_density,5418,2.011074197120709,2.0,0.685746595768211,1,4,2.0,2.0
conditional_branching_complexity,5418,1.4278331487633813,1.0,0.5677770912914335,1,4,1.0,2.0
goal_orientedness,5418,2.395348837209302,3.0,0.7600368702007332,1,4,2.0,3.0
uncertainty_and_exploration,5418,1.4138058324104836,1.0,0.6667624371801668,1,4,1.0,2.0
interactivity,5418,1.255813953488372,1.0,0.5858843320312063,1,4,1.0,1.0
feedback_loops,5418,1.3744924326319674,1.0,0.6477912735553513,1,4,1.0,2.0
multi_agent_collaboration,5418,1.2748246585455887,1.0,0.5987165652139685,1,4,1.0,1.0
resource_management,5418,1.303248431155408,1.0,0.5813485921888425,1,4,1.0,1.0
risk_assessment_and_trade_offs,5418,1.442783314876338,1.0,0.6971503519205297,1,4,1.0,2.0
long_term_planning_horizon,5418,1.3741232927279439,1.0,0.6742517969029096,1,4,1.0,2.0
tool_invocation_simulation,5418,1.3329641934293097,1.0,0.601722436153476,1,4,1.0,2.0
adaptation_to_changes,5418,1.5712440014765596,1.0,0.7602599333273787,1,4,1.0,2.0
